name,category,review.point,price,currency,description.1.2247.
"Caol Ila 18 year old (Diageo Special Releases 2017), 59.8%",Single Malt Scotch,88,100,$,"If you like sherried malts, you’ll love this! Bottled at a respectable strength too. Red apple, cherry skins, strawberry, raspberry, Eccles cake, malt loaf, and warming spices; there’s a lot to get your nose into here. A finely structured dram, with soft leather, rhubarb, Bramley apple, cherryade, fresh Victoria plum, pepper, and muted ginger deliver sustained flavors. A long, spicy, and peeled fruit finish. Given the distillery closures in 1983, there could be some interesting components in here. (464 bottles)"
"Carlyle, 40%",Single Malt Scotch,88,13,$,"A dense, suffocating fog of peat smoke, sea salt, dry seaweed on the high tide, and lemon-scented candles. Remember to come up for air once in a while. A supple, silky texture of lemon mousse, baked apple, vanilla, cinnamon, ginger, and a massive rush of pepper. Hold this in your mouth for as long as possible; the flavor delivery is impressively long and constantly evolving. Hot, drying finish, and, frankly, a relief from the peppery assault on the palate. £47"
" Big Peat Christmas Edition 2017, 54.1%",Blended Malt Scotch Whisky,88,70,$,"The style and class of the youngest was inspired by the classic elegance of Paris in the 1920s. Comprising Kininvie and Girvan married in tuns of Portuguese oak, this is pure, creamy goodness bathing in lemon meringue pie, vanilla tablet, and fresh oak shavings. A buttery-soft texture, the back of the palate kicks off with honey explosions, nougat, and toffee, backed with a distinct oakiness to remind you that it’s got much more to offer than just vanilla playfulness. £50 Travel Retail exclusive"
"J. Mossman Gold Crown 12 year old, 40%",Blended Scotch Whisky,88,43,$,"After six ‘Work in Progress’ releases, Kilkerran from Glengyle Distillery has finally come of age with this core expression. It comprises 70% whisky from first-fill bourbon casks and 30% from sherry casks. Floral on the nose, with honey and a hint of brine, then peaty fruit notes develop. The palate is confident and oily, slightly earthy, with tinned peaches, black pepper, cinnamon, smoke, and a suggestion of medicine chests. The finish is relatively long, with pepper, licorice, and drying oak."
"Chapter 7 2008 (distilled at Allt-a-Bhainne) 9 year old, 60.7%",Single Malt Scotch,88,65,$,"As the name implies, this non-chill filtered expression was finished in Pedro Ximinez sherry butts. The nose offers sweet sherry, honey, malt, and lemon, while the palate yields more sherry, plain chocolate, honey, spicy toffee, and a hint of orange. More spicy toffee, plus drying oak in the medium-length finish."
"Chapter 7 2008 (distilled at Aultmore) 9 year old, 62.2%",Single Malt Scotch,88,70,$,"Lush and fruity. Sappy, with waxed fruit, golden raisin, plum, and nectarine rock candy. Mouth-clinging finish. Definitely post-prandial, after a hearty meal. (With a cigar, perhaps?) (Loch & K(e)y retailer exclusive)"
"Bunnahabhain Pedro Ximénez Cask Finish 15 year old, 54.3%",Single Malt Scotch,88,99,$,"Heavily peated Bunnahabhain spirit, referred to as Margadale, was used for this bottling and matured in refill sherry butts. Savory on the nose, with smoky brine, plain chocolate, and Granny Smith apples. The palate offers similar green apple notes, along with sweet peat, cocoa, and licorice. Wood smoke and pipe tobacco in the medium-length finish."
"Kilchoman Red Wine Cask Matured, 50%",Single Malt Scotch,88,125,$,"Initially matured in recharred puncheons, then transferred for an unspecified period into virgin American oak casks. The nose offers icing sugar and soft toffee, vanilla, clementine, and wood varnish. More icing sugar, with orange and fudge on the palate, plus wood spice and an herbal note. Fruity through the finish, while spice builds, with a hint of aniseed at the close. An interesting alternative to the classic sherry-rich GlenDronach style."
"Exclusive Malts 2005 Ledaig (distilled at Tobermory) 11 year old, 57.6%",Single Malt Scotch,88,100,$,"Like its elder sibling, Loch Lomond 12 year old is presented in non-chill filtered form, and in this case, matured in a mix of bourbon, refill, and recharred casks. Ripe apricots, vanilla, and a suggestion of peat smoke on the nose.  The full palate offers oranges and pears, plus developing spicy malt and mild peatiness. Long in the finish, with spicy fruit notes. Drying, with subtle tannins."
"Johnnie Walker Black Label The Director’s Cut, 49%",Blended Scotch Whisky,88,80,$,"Thick orange peels, grapefruit, lime zest, and Starburst taffy candies keep the nose of this premium expression within the purview of the Black Bull character. Layers of vanilla custard, mellow fruit, and ginger snaps quench an initial rush of sharp citrus. Sponge cake creaminess abounds though the spices nibble at the edges, leaving a long, sweet, citrus finish. Water nips the more acidic elements while leaving the citrus flavors intact."
"Moon Harbour Pier #2 Peated Edition, 47.1%",Blended Scotch Whisky,88,70,$,"Matured in bourbon casks, this expression offers a sweet, pleasing nose of honey, icing sugar, toffee bonbons, and orange peel. Medium-bodied, with barley sugar, soft oak, nectarine, and lychee. Vanilla and a return of honey in the medium-length finish."
"Aberlour 16 year old, 40%",Single Malt Scotch,88,80,$,"A proportion of the component whiskies has been matured in virgin Black Sea oak casks, while the rest has been aged in bourbon barrels. The nose is sweet, with warm cloves and soft peat; a hint of brine. When it comes to the palate—curious! Menthol and herbal notes, toasted oak, plain chocolate, sweet antiseptic. Mildly tannic in the finish, with subtle peaty spiciness. An herbal peat note lingers long."
